st,en,popularity
31005,31206,71
31005,31208,12
31005,31209,39
31005,31211,196
31005,31212,78
31005,31213,35
31005,31214,23
31005,31215,252
31005,31216,89
31005,31217,234
31005,31218,121
31005,31219,85
31005,31220,93
31005,31221,51
31005,31222,163
31005,31223,14
31005,31224,29
31005,31225,208
31005,31226,21
31005,31227,51
31005,31228,77
31005,31229,33
31005,31230,73
31005,31231,101
31005,31232,68
31005,31233,49
31005,31234,60
31005,31235,381
31005,31236,65
31005,31237,100
31005,31238,104
31005,31239,35
31005,31240,222
31005,31241,56
31005,31242,98
31005,31243,112
31005,31244,172
31005,31245,2
31005,31246,166
31005,31247,531
31005,31248,280
31005,31249,3229
31005,31250,21
31005,31251,15
31005,31252,128
31005,31253,30
31005,31254,33
31005,31255,23
31005,31256,70
31005,31257,130
31005,31258,2905
31005,31259,28
31005,31260,158
31005,31261,511
31005,31262,19
31005,31263,21
31005,31264,48
31005,31265,27
31005,31266,21
31005,31267,17
31005,31268,14
31005,31269,27
31005,31270,53
31005,31271,94
31005,31272,58
31005,31273,65
31005,31274,29
31005,31275,129
31005,31276,32
31005,31277,54
31005,31278,17
31005,31279,42
31005,31280,3
31005,31281,6
31005,31282,9
31005,31283,35
31005,31284,30
31005,31285,32
31005,31286,3
31005,31287,249
31005,31288,53
31005,31289,379
31005,31290,114
31005,31291,22
31005,31292,102
31005,31293,34
31005,31294,13
31005,31295,78
31005,31296,5
31005,31297,50
31005,31298,22
31005,31299,9
31005,31300,2
31005,31302,3
31005,31303,1
31005,31304,14
31005,31305,4
31005,31306,16
31005,31307,12
31005,31308,3
31005,31310,3
31005,31312,50
31005,31313,1
31005,31314,123
31005,31318,1
31005,31319,2
31005,31320,2
31005,31321,72
31005,31323,14
31005,31324,10
31005,31325,2
31005,31326,3
31005,31327,6
31005,31328,6
31005,31400,10
31005,31401,8
31005,31407,1
31005,31500,2
31005,31501,1
31005,31502,2
31005,31503,8
31005,31504,3
31005,31505,30
31005,31506,11
31005,31507,1
31005,31508,2
31005,31509,3
31005,31513,1
31005,31514,1
31005,31515,2
31005,31516,3
31005,31517,1
31005,31518,3
31005,31522,3
31005,31523,1
31005,31527,1
31005,31600,21
31005,31601,8
31005,31602,32
31005,31603,36
31005,31604,37
31005,31605,9
31005,31606,2
31005,31607,1
31005,31608,7
31005,31609,150
31005,31610,16
31005,31611,4
31005,31612,1
31005,31613,44
31005,31614,2
31005,31615,4
31005,31616,12
31005,31617,3
31005,31618,23
31005,31619,4
31005,31620,34
31005,31621,8
31005,31622,5
31005,31623,66
31005,31624,38
31005,31625,12
31005,31626,2
31005,31627,5
31005,31628,36
31005,31629,11
31005,31630,20
31005,31631,5
31005,31633,105
31005,31634,31
31005,31635,2
31005,31636,11
31005,31637,86
31005,31638,8
31005,31639,5
31005,31640,2
31005,31641,7
31005,31642,1
31005,31643,11
31005,31645,2
31005,31646,94
31005,31647,18
31005,31648,2
31005,31650,12
31005,31651,1
31005,31652,2
31005,31653,4
31005,31654,2
31005,31655,4
31005,31657,56
31005,31661,5
31005,31662,2
31005,31666,4
31005,31668,1
31005,31700,1
31005,31710,2
31005,31712,1
31005,31800,10
31005,31801,5
31005,31802,3
31005,31803,1
31005,31805,1
31005,31807,1
